1	2	3	4	5	6	7	8	9	10	11	12
0.1723	0.0951	0.0894	0.0748	1.8196	0.9758	0.4908	0.2446	1.8319	0.947	0.485	0.2491
0.1876	0.1406	0.0937	0.0852	0.1865	0.1291	0.1014	0.0903	0.1902	0.1411	0.0956	0.0873
0.2158	0.1724	0.1185	0.0934	0.2198	0.1615	0.1135	0.0985	0.2588	0.1596	0.1116	0.0947
0.2226	0.2098	0.1434	0.1248	0.258	0.1823	0.1457	0.1283	0.2616	0.2042	0.1365	0.2042
0.2746	0.2227	0.147	0.1317	0.2679	0.2271	0.1534	0.1308	0.2646	0.2056	0.152	0.1179
0.1863	0.1465	0.0996	0.0884	0.1642	0.1695	0.1037	0.0864	0.2007	0.1262	0.1016	0.0959
0.2896	0.2237	0.1535	0.1392	0.2667	0.2092	0.1476	0.1316	0.2591	0.194	0.1622	0.1311
0.328	0.2393	0.1697	0.1518	0.2997	0.228	0.1682	0.1685	0.3113	0.2293	0.1303	0.1539
