1	2	3	4	5	6	7	8	9	10	11	12
0.0762	0.0621	0.0591	0.0615	2.1175	1.3549	0.7683	0.3506	2.0335	1.3599	0.7177	0.3283
0.0917	0.0667	0.0598	0.0567	0.1337	0.0801	0.0652	0.0603	0.1016	0.0735	0.0571	0.0565
0.1052	0.0723	0.0602	0.055	0.1112	0.0746	0.0633	0.0563	0.1073	0.0744	0.06	0.0577
0.2371	0.1237	0.0828	0.0697	0.2145	0.1249	0.0869	0.0655	0.2235	0.1273	0.0812	0.0708
0.1185	0.0752	0.0647	0.0565	0.1184	0.0765	0.0622	0.0592	0.1146	0.0774	0.0617	0.0622
0.1802	0.1083	0.0786	0.0628	0.1597	0.0995	0.0734	0.062	0.162	0.0983	0.0735	0.0649
0.6232	0.3004	0.1505	0.09	0.5184	0.242	0.1251	0.0823	0.4997	0.2229	0.1225	0.0803
0.5172	0.2439	0.1364	0.088	0.4932	0.2349	0.1252	0.0815	0.6018	0.2756	0.144	0.0913
