1	2	3	4	5	6	7	8	9	10	11	12
0.0973	0.0669	0.0561	0.0525	1.8925	0.8301	0.3144	0.1751	1.9846	0.8963	0.4295	0.2376
0.4292	0.2477	0.1373	0.0807	0.4523	0.2715	0.1159	0.087	0.4838	0.2539	0.1098	0.0798
0.2113	0.099	0.0733	0.0552	0.1564	0.0978	0.0659	0.0659	0.1636	0.0915	0.0674	0.06
0.2468	0.1582	0.0904	0.0692	0.2305	0.133	0.0938	0.0664	0.2299	0.1334	0.0917	0.0703
0.1426	0.0801	0.0601	0.0506	1.7358	0.8598	0.4142	0.1895	1.8111	0.9339	0.4071	0.2133
0.4203	0.23	0.1092	0.0764	0.4074	0.2239	0.1126	0.0769	0.3469	0.1706	0.0987	0.0725
0.266	0.1133	0.0752	0.0574	0.1782	0.1011	0.0688	0.0575	0.1777	0.0989	0.0666	0.0585
0.2818	0.1508	0.0886	0.0693	0.2576	0.1481	0.0849	0.0818	0.2522	0.1402	0.0778	0.082
