1	2	3	4	5	6	7	8	9	10	11	12
0.0595	0.0603	0.0639	0.0609	1.0267	0.2261	0.1233	0.0792	0.9283	0.2195	0.1261	0.0852
0.8254	0.524	0.3176	0.2297	0.8137	0.4571	0.2691	0.2005	0.7072	0.4977	0.3285	0.2236
0.8933	0.5189	0.3081	0.219	0.8442	0.485	0.2968	0.2214	0.8087	0.4947	0.3168	0.2624
0.5845	0.2901	0.1595	0.1318	0.6616	0.2657	0.1651	0.1433	0.6147	0.289	0.1888	0.115
0.2976	0.1449	0.0984	0.0835	0.3197	0.1424	0.0952	0.0799	0.1659	0.1273	0.0981	0.0818
0.6443	0.33	0.1644	0.1134	0.6518	0.2962	0.1797	0.1381	0.6257	0.2718	0.1769	0.1195
1.1745	0.6866	0.3931	0.2147	1.174	0.7034	0.3911	0.237	1.2228	0.7218	0.1095	0.23
0.4483	0.2728	0.1817	0.1122	0.4598	0.3129	0.1654	0.1217	0.5949	0.3083	0.0736	0.1356
