1	2	3	4	5	6	7	8	9	10	11	12
0.4771	0.1123	0.0787	0.0614	2.0722	0.8714	0.4107	0.1687	1.8428	0.8389	0.4162	0.2144
1.9147	1.7001	1.3703	0.8462	1.8733	1.5374	1.1094	0.6924	1.7524	1.5946	1.1584	0.7373
0.3743	0.1706	0.4276	0.0724	0.3932	0.1487	0.1028	0.0775	0.2902	0.1568	0.1	0.0856
1.0649	0.7796	0.5091	0.3141	1.2077	0.882	0.601	0.3308	1.2215	0.8255	0.4891	0.3376
1.2816	0.8276	0.4915	0.2612	1.0897	0.7734	0.3925	0.2343	1.1734	0.8334	0.4354	0.2472
1.3424	0.6938	0.3789	0.1662	1.3052	0.7377	0.3377	0.1696	1.2393	0.8068	0.3593	0.1792
1.0935	0.7049	0.2977	0.1662	0.9783	0.4878	0.2976	0.1385	0.9957	0.4826	0.2897	0.1785
1.2236	0.987	0.4992	0.2366	1.2834	0.854	0.4687	0.2368	1.2355	0.7742	0.4436	0.2437
