1	2	3	4	5	6	7	8	9	10	11	12
0.1786	0.113	0.1236	0.1011	1.888	0.7321	0.365	0.2131	1.8163	0.8194	0.3976	0.2408
0.2679	0.1563	0.14	0.1175	0.2711	0.1777	0.1345	0.1263	0.2771	0.1825	0.1594	0.153
0.2684	0.1777	0.1281	0.1125	0.2428	0.1609	0.1398	0.1164	0.2653	0.1781	0.1423	0.1406
0.4644	0.3567	0.258	0.246	0.4642	0.3197	0.287	0.2574	0.4789	0.3287	0.2883	0.2542
0.4531	0.2632	0.2	0.1706	0.4625	0.2807	0.2088	0.1683	0.4658	0.2637	0.2108	0.1792
0.2094	0.1388	0.1324	0.1112	0.1787	0.1596	0.1299	0.1162	0.1855	0.1465	0.1532	0.1335
0.3254	0.2165	0.1643	0.1275	0.3158	0.2222	0.1627	0.1387	0.3264	0.2211	0.1815	0.1591
0.315	0.1946	0.1586	0.1416	0.2749	0.194	0.1543	0.1395	0.285	0.189	0.1621	0.1441
