1	2	3	4	5	6	7	8	9	10	11	12
0.1522	0.0916	0.07	0.0597	1.8787	0.9806	0.4793	0.2159	1.8447	0.9705	0.4601	0.2217
0.1818	0.1152	0.0773	0.0606	0.1528	0.091	0.0689	0.0583	0.1652	0.0927	0.0706	0.0616
0.2391	0.1565	0.0973	0.0684	0.2958	0.1362	0.0892	0.0672	0.2307	0.1246	0.0885	0.0676
0.1987	0.1221	0.0842	0.0659	0.1814	0.1031	0.0777	0.0594	0.1596	0.0963	0.0735	0.0624
0.294	0.1867	0.1099	0.0746	0.2781	0.1537	0.097	0.0744	0.2358	0.1289	0.1069	0.074
0.1614	0.1141	0.0687	0.0573	0.1329	0.0777	0.0641	0.0567	0.1251	0.0857	0.0655	0.0567
0.3309	0.1864	0.1112	0.075	0.334	0.1635	0.1002	0.0711	0.3186	0.1675	0.1029	0.0724
0.2592	0.1641	0.1035	0.0719	0.2614	0.1447	0.0929	0.0665	0.2604	0.14	0.0915	0.0671
