1	2	3	4	5	6	7	8	9	10	11	12
0.1502	0.0837	0.0641	0.0609	2.1493	1.1584	0.7737	0.2998	2.4421	1.3559	0.728	0.289
0.1704	0.0884	0.069	0.0606	0.1698	0.0823	0.0673	0.0591	0.1601	0.0827	0.0669	0.0615
0.218	0.1007	0.0818	0.0641	0.2198	0.1099	0.0816	0.0666	0.2196	0.1138	0.0782	0.0694
0.2656	0.1245	0.0893	0.0715	0.2542	0.1272	0.0888	0.0741	0.2506	0.1255	0.0945	0.0781
0.2286	0.105	0.0807	0.0681	0.2257	0.1115	0.081	0.0665	0.2125	0.1141	0.0807	0.0688
0.2219	0.1045	0.0817	0.0708	0.2326	0.1187	0.0798	0.0704	0.2763	0.1197	0.0826	0.069
0.5233	0.1884	0.1108	0.0822	0.5351	0.1942	0.1118	0.0771	0.4975	0.1744	0.1123	0.077
0.7447	0.3759	0.1831	0.1055	0.8893	0.3677	0.1753	0.111	0.9025	0.392	0.2004	0.1177
