1	2	3	4	5	6	7	8	9	10	11	12
0.1049	0.1055	0.1005	0.0842	0.92	0.3222	0.1792	0.1096	0.901	0.2946	0.1799	0.1521
0.1595	0.1082	0.1048	0.0801	0.1282	0.1043	0.0755	0.0662	0.1228	0.0961	0.0864	0.0929
0.3543	0.2083	0.2277	0.1993	0.256	0.219	0.1703	0.1447	0.2605	0.1717	0.1859	0.2664
0.3035	0.2411	0.1846	0.1623	0.2734	0.2408	0.1771	0.1469	0.2712	0.1962	0.1541	0.1752
0.2289	0.1938	0.1366	0.1272	0.1947	0.1619	0.132	0.1121	0.1937	0.1465	0.1445	0.1557
0.3251	0.2401	0.198	0.1884	0.29	0.1944	0.1773	0.1679	0.244	0.1974	0.1775	0.1755
0.5321	0.3338	0.2402	0.1956	0.5217	0.2998	0.2047	0.1513	0.4893	0.3023	0.2201	0.2085
0.6139	0.3927	0.3028	0.2392	0.5362	0.382	0.2407	0.2355	0.5402	0.3549	0.2705	0.2112
