1	2	3	4	5	6	7	8	9	10	11	12
0.1096	0.1002	0.0657	0.0628	1.9844	1.2027	0.6795	0.2971	1.9674	1.2395	0.636	0.3074
0.2998	0.2262	0.135	0.0907	0.3325	0.2017	0.1257	0.0854	0.3365	0.2122	0.1401	0.0861
0.1455	0.1076	0.0808	0.0662	0.1516	0.1101	0.082	0.0669	0.1519	0.1046	0.0798	0.0662
0.8725	0.7319	0.485	0.366	0.9392	0.7519	0.5137	0.3657	0.9179	0.7342	0.5223	0.3683
0.8814	0.6346	0.4114	0.2721	0.8233	0.616	0.3722	0.2619	0.8354	0.5875	0.3992	0.2692
0.1477	0.1011	0.0848	0.0674	0.1541	0.12	0.0827	0.069	0.2055	0.1043	0.0859	0.066
0.3568	0.2458	0.1789	0.1242	0.3753	0.2662	0.164	0.1166	0.4045	0.255	0.1741	0.1131
0.2954	0.1979	0.1359	0.1017	0.3125	0.2129	0.1421	0.1063	0.2918	0.1984	0.1434	0.0961
