1	2	3	4	5	6	7	8	9	10	11	12
0.0569	0.0504	0.0515	0.0989	0.6145	0.1734	0.0972	0.0698	0.5947	0.1966	0.0986	0.2021
0.3475	0.2198	0.1219	0.0837	0.3409	0.1902	0.1137	0.0829	0.3248	0.1851	0.1154	0.0776
0.3704	0.2242	0.1438	0.0975	0.363	0.2323	0.1422	0.098	0.3488	0.2301	0.1249	0.0955
0.0839	0.0571	0.0553	0.0542	0.0766	0.0577	0.0553	0.0543	0.0751	0.0581	0.0522	0.057
0.1019	0.0655	0.0584	0.0571	0.0896	0.0633	0.0546	0.0555	0.0934	0.063	0.0538	0.0553
0.2803	0.1877	0.0977	0.072	0.2566	0.148	0.0919	0.0697	0.2612	0.1456	0.0955	0.0744
0.5171	0.2874	0.1448	0.0891	0.4578	0.2734	0.1392	0.0915	0.4696	0.2742	0.1502	0.0932
0.2593	0.1314	0.0802	0.0589	0.2523	0.1143	0.0696	0.0581	0.2243	0.104	0.0692	0.0682
