1	2	3	4	5	6	7	8	9	10	11	12
0.0499	0.0489	0.0494	0.0495	0.5008	0.1189	0.0754	0.0573	0.462	0.1202	0.0753	0.0581
0.2122	0.1258	0.0794	0.0583	0.2091	0.1155	0.0779	0.0581	0.1805	0.1396	0.0794	0.0577
0.2286	0.1412	0.0903	0.0622	0.2452	0.1415	0.0796	0.0636	0.2149	0.1553	0.0909	0.0631
0.2326	0.1638	0.1236	0.0682	0.2545	0.1616	0.1026	0.0712	0.2777	0.1854	0.1033	0.0687
0.273	0.1919	0.1037	0.0647	0.2706	0.1608	0.0986	0.0689	0.2464	0.1688	0.0986	0.0664
0.2587	0.1763	0.1057	0.0734	0.2729	0.1697	0.1179	0.0766	0.2275	0.1857	0.1028	0.0703
0.6192	0.4228	0.2092	0.109	0.6094	0.3534	0.2113	0.1129	0.5201	0.3978	0.1933	0.114
0.668	0.4863	0.2736	0.1417	0.7164	0.5174	0.2272	0.1327	0.6871	0.4983	0.2668	0.1403
