1	2	3	4	5	6	7	8	9	10	11	12
0.1232	0.0851	0.0665	0.0572	1.7686	0.9546	0.5012	0.2382	1.716	0.9552	0.5056	0.2481
0.1423	0.087	0.0668	0.0572	0.1423	0.0868	0.0673	0.0578	0.1693	0.091	0.0702	0.0659
0.1828	0.1156	0.0858	0.073	0.165	0.1131	0.0924	0.0701	0.2037	0.1179	0.1049	0.0886
0.428	0.2543	0.1548	0.1291	0.4352	0.2434	0.149	0.123	0.4371	0.2337	0.1687	0.1283
0.145	0.0864	0.0648	0.0587	0.1485	0.093	0.0664	0.0577	0.1494	0.0951	0.0782	0.0698
0.269	0.1555	0.0957	0.0785	0.2613	0.1608	0.1149	0.0782	0.2894	0.149	0.1089	0.0918
0.3495	0.1577	0.1062	0.0828	0.3538	0.182	0.1092	0.0844	0.3641	0.1843	0.1223	0.0904
0.4178	0.2322	0.1469	0.1131	0.4317	0.2441	0.1678	0.1148	0.4206	0.2638	0.1745	0.1451
