1	2	3	4	5	6	7	8	9	10	11	12
0.0789	0.0577	0.0522	0.0507	1.686	0.7282	0.3252	0.1489	1.7637	0.7526	0.3251	0.1638
0.2194	0.1139	0.0775	0.062	0.2255	0.1222	0.076	0.0626	0.2141	0.1135	0.0753	0.0613
0.1002	0.0742	0.0637	0.0611	0.1008	0.0753	0.0633	0.0614	0.1067	0.0732	0.067	0.0621
0.4745	0.2336	0.1531	0.1324	0.4329	0.2287	0.1687	0.1257	0.4024	0.253	0.1528	0.1436
0.3226	0.208	0.1703	0.1416	0.3107	0.2057	0.1551	0.1442	0.3156	0.2177	0.159	0.1462
0.0975	0.0652	0.0599	0.0567	0.0918	0.0656	0.0593	0.0552	0.0795	0.0646	0.0571	0.0549
0.3087	0.1774	0.1309	0.1153	0.3194	0.1806	0.1237	0.1044	0.2961	0.1628	0.1186	0.0987
0.1785	0.108	0.0799	0.0662	0.1925	0.1147	0.0839	0.074	0.1711	0.1112	0.0766	0.0716
