1	2	3	4	5	6	7	8	9	10	11	12
0.2401	0.1131	0.0873	0.0663	1.6726	0.8609	0.3845	0.1983	1.6696	0.8355	0.4085	0.2003
0.5118	0.3105	0.1848	0.1181	0.4978	0.3154	0.1631	0.1013	0.5431	0.2853	0.1708	0.1062
0.4644	0.2119	0.1387	0.091	0.3535	0.2298	0.157	0.091	0.5189	0.2837	0.1589	0.0988
0.7484	0.6974	0.3454	0.207	0.8935	0.4884	0.3519	0.1505	0.7168	0.5619	0.3432	0.1807
0.1374	0.0955	0.1026	0.0581	1.9972	0.7811	0.4641	0.1793	1.8837	0.8677	0.4167	0.2024
0.4621	0.2553	0.1542	0.0924	0.454	0.2682	0.1367	0.0921	0.4251	0.3979	0.1865	0.0915
0.6693	0.2426	0.1265	0.0911	0.3423	0.2001	0.1173	0.0808	0.3511	0.1818	0.1008	0.0755
0.8825	0.6002	0.3167	0.1873	0.6432	0.537	0.2647	0.1597	0.6727	0.4557	0.2771	0.1594
