1	2	3	4	5	6	7	8	9	10	11	12
0.0821	0.062	0.0543	0.0534	2.1994	1.2758	0.7022	0.3066	2.2153	1.2408	0.601	0.281
0.6983	0.547	0.4504	0.375	0.6349	0.5506	0.4435	0.57	0.67	0.5568	0.4472	0.3805
0.7432	0.6079	0.4679	0.4054	0.6672	0.5538	0.4641	0.5907	0.7215	0.4161	0.346	0.3531
0.2075	0.1082	0.0861	0.0764	0.1888	0.1122	0.0892	0.1113	0.1807	0.1064	0.0911	0.0786
0.2906	0.2665	0.2379	0.2496	0.274	0.253	0.2554	0.2582	0.2827	0.2484	0.2399	0.2452
0.5649	0.4701	0.409	0.3569	0.6006	0.5119	0.4088	0.376	0.6524	0.4456	0.398	0.3652
0.7194	0.5812	0.56	0.494	0.7625	0.6351	0.5766	0.4699	0.7511	0.6083	0.5385	0.4674
0.2091	0.1288	0.0923	0.0704	0.2726	0.1268	0.1017	0.0738	0.204	0.1401	0.1006	0.0784
