1	2	3	4	5	6	7	8	9	10	11	12
0.1154	0.0737	0.0603	0.0562	2.0399	1.0615	0.5165	0.2251	1.9824	1.0125	0.4739	0.2277
0.407	0.1987	0.1175	0.0789	0.38	0.2015	0.1183	0.0807	0.387	0.2033	0.1163	0.0824
0.1542	0.0802	0.0594	0.0502	0.1263	0.0772	0.0582	0.0515	0.1347	0.076	0.058	0.0534
0.5154	0.3088	0.234	0.208	0.5046	0.3128	0.2431	0.207	0.5162	0.3249	0.2489	0.2042
0.3517	0.2074	0.1528	0.1362	0.3313	0.2108	0.1495	0.1318	0.333	0.2099	0.1592	0.1247
0.1347	0.075	0.0608	0.0537	0.1222	0.076	0.0597	0.0537	0.1193	0.0739	0.0602	0.0559
0.3346	0.2123	0.1401	0.1098	0.3237	0.2109	0.1358	0.0932	0.2904	0.1935	0.1457	0.1007
0.5645	0.2682	0.1593	0.0986	0.5265	0.2571	0.1549	0.0967	0.5177	0.2652	0.1528	0.0998
