1	2	3	4	5	6	7	8	9	10	11	12
0.1746	0.1066	0.0804	0.0654	1.9747	1.2291	0.6775	0.3197	2.0354	1.2588	0.6794	0.3346
0.5673	0.3997	0.337	0.2942	0.5125	0.4003	0.3331	0.2845	0.5323	0.4272	0.3699	0.3179
0.5534	0.4033	0.3351	0.2907	0.5229	0.3883	0.3354	0.3004	0.5474	0.4071	0.3573	0.3105
0.2856	0.1768	0.1253	0.097	0.2845	0.1742	0.1258	0.0974	0.2831	0.1781	0.1357	0.0977
0.2621	0.2277	0.2114	0.1938	0.2628	0.2356	0.2113	0.2098	0.2682	0.2203	0.2067	0.1797
0.6587	0.4483	0.3156	0.2461	0.6843	0.4412	0.3176	0.244	0.6612	0.45	0.3127	0.2268
0.8764	0.634	0.4551	0.3485	0.9005	0.5942	0.4399	0.3453	0.8908	0.6025	0.457	0.3484
0.2341	0.141	0.1079	0.0775	0.2145	0.146	0.1052	0.0791	0.2335	0.1354	0.1009	0.088
