1	2	3	4	5	6	7	8	9	10	11	12
0.0975	0.0754	0.0591	0.0583	2.3101	1.4812	0.7895	0.4019	2.2234	1.4162	0.7965	0.4499
0.1699	0.1022	0.0712	0.0622	0.1799	0.0938	0.0684	0.0609	0.1712	0.092	0.0691	0.0659
0.1476	0.1298	0.0959	0.0835	0.1467	0.1264	0.0921	0.0818	0.1545	0.1248	0.0964	0.0872
0.4559	0.3439	0.336	0.2987	0.4691	0.3954	0.323	0.3123	0.4511	0.376	0.299	0.2821
0.1814	0.1129	0.0858	0.0661	0.202	0.1335	0.0754	0.0646	0.1791	0.1029	0.0739	0.0651
0.7345	0.4924	0.2449	0.1309	0.9239	0.4336	0.224	0.1302	0.8599	0.4491	0.2318	0.1277
0.4919	0.2403	0.131	0.0958	0.5227	0.229	0.1338	0.0897	0.5206	0.2317	0.1317	0.0952
0.8126	0.4117	0.241	0.1749	0.7398	0.3968	0.2283	0.1748	0.7521	0.3956	0.2387	0.1952
