1	2	3	4	5	6	7	8	9	10	11	12
0.1877	0.104	0.0902	0.0759	2.266	1.4113	0.814	0.4098	2.2075	1.4857	0.8609	0.442
0.168	0.1059	0.0857	0.0828	0.1457	0.113	0.0906	0.085	0.1437	0.1234	0.0945	0.0877
0.2037	0.1421	0.1081	0.1011	0.2119	0.1362	0.1094	0.1021	0.2035	0.1476	0.1245	0.1242
0.5306	0.3888	0.2773	0.249	0.5582	0.3776	0.285	0.24	0.5259	0.3641	0.2902	0.24
0.281	0.1795	0.1142	0.1012	0.2471	0.1639	0.1311	0.101	0.2674	0.1606	0.1281	0.1154
0.4539	0.2698	0.1635	0.1345	0.4238	0.2528	0.1774	0.1326	0.437	0.2428	0.194	0.1557
0.691	0.3744	0.2221	0.1626	0.7179	0.3823	0.2348	0.1584	0.6988	0.3827	0.2474	0.17
0.9189	0.5825	0.3853	0.2952	0.957	0.5596	0.3771	0.2861	0.9765	0.5817	0.4033	0.3255
