1	2	3	4	5	6	7	8	9	10	11	12
0.1286	0.0783	0.0648	0.0603	2.2511	1.0833	0.6018	0.2617	2.2097	1.1098	0.6027	0.2779
0.1429	0.0737	0.0636	0.0584	0.1308	0.0771	0.0722	0.0601	0.1475	0.0796	0.0689	0.0615
0.1577	0.0872	0.0669	0.0635	0.1666	0.0879	0.0682	0.0595	0.169	0.0894	0.0702	0.0617
0.2497	0.1258	0.0847	0.0694	0.2409	0.1128	0.0794	0.0687	0.2143	0.1103	0.0833	0.0756
0.18	0.0965	0.0699	0.0651	0.1646	0.0916	0.073	0.063	0.1667	0.0877	0.075	0.0691
0.2537	0.1108	0.0805	0.0687	0.2249	0.1118	0.0822	0.0661	0.2437	0.1051	0.084	0.0747
0.5303	0.1753	0.1027	0.0762	0.5027	0.1897	0.1073	0.0743	0.4818	0.1891	0.1093	0.0762
1.1169	0.4308	0.2208	0.1255	1.0896	0.4479	0.2023	0.1024	1.0611	0.3935	0.2085	0.1205
