1	2	3	4	5	6	7	8	9	10	11	12
0.057	0.0516	0.0502	0.0516	0.8182	0.2713	0.1516	0.0849	0.8201	0.2702	0.1315	0.0913
0.3369	0.1845	0.1124	0.0739	0.304	0.1871	0.1141	0.1288	0.3164	0.1915	0.1112	0.0825
0.3361	0.188	0.1112	0.0734	0.3079	0.1825	0.1112	0.0721	0.3072	0.1784	0.106	0.0793
0.1908	0.1114	0.0756	0.0566	0.1898	0.0993	0.0688	0.0576	0.1659	0.0948	0.0704	0.059
0.1128	0.0687	0.0572	0.0527	0.1027	0.0679	0.0579	0.054	0.1042	0.0663	0.0566	0.0579
0.2523	0.1461	0.0866	0.0646	0.2359	0.1428	0.0884	0.0649	0.2526	0.1432	0.0904	0.068
0.4591	0.2346	0.1293	0.0828	0.4388	0.2279	0.1321	0.0816	0.4088	0.2378	0.1211	0.0821
0.2026	0.1064	0.0737	0.0615	0.1924	0.0899	0.0724	0.0604	0.1784	0.1025	0.0794	0.0593
