1	2	3	4	5	6	7	8	9	10	11	12
0.0973	0.0703	0.069	0.0583	2.5114	1.8692	1.2832	0.7142	2.5738	1.8623	1.1891	0.6823
0.2883	0.2177	0.2423	0.2184	0.3128	0.2551	0.2337	0.2307	0.3232	0.2584	0.2343	0.2449
0.4452	0.3278	0.2995	0.2693	0.4518	0.361	0.3382	0.2705	0.4617	0.3881	0.3188	0.322
0.7928	0.7248	0.6708	0.6508	0.8182	0.7042	0.6555	0.6138	0.818	0.729	0.645	0.6201
0.4047	0.1957	0.1182	0.0923	0.3841	0.2179	0.1454	0.1205	0.3969	0.1854	0.1214	0.1021
0.6086	0.332	0.1984	0.1327	0.6022	0.3476	0.1921	0.142	0.6076	0.3553	0.2243	0.1673
0.9836	0.5181	0.2815	0.1933	0.9801	0.5364	0.3266	0.1915	0.9829	0.5418	0.3213	0.1764
0.9634	0.6522	0.4515	0.4016	0.9735	0.6174	0.4809	0.3749	0.9789	0.6685	0.4454	0.3734
