1	2	3	4	5	6	7	8	9	10	11	12
0.1874	0.1611	0.1003	0.0643	1.7695	0.8962	0.4596	0.2132	1.9307	0.928	0.4435	0.2394
0.5573	0.3172	0.1645	0.1046	0.5036	0.2866	0.1529	0.0931	0.5491	0.3337	0.1611	0.0978
0.3989	0.2328	0.1218	0.0853	0.3684	0.2044	0.1316	0.0813	0.4102	0.2341	0.1122	0.0787
0.559	0.3902	0.1823	0.1142	0.5278	0.427	0.194	0.1061	0.528	0.3276	0.1653	0.1076
0.237	0.1493	0.076	0.0625	2.027	1.0006	0.4409	0.21	1.8216	0.913	0.4505	0.224
0.4901	0.2704	0.1509	0.0911	0.5077	0.2747	0.1388	0.0888	0.4608	0.309	0.1378	0.0872
0.3711	0.2131	0.1151	0.0745	0.3576	0.2259	0.1281	0.0778	0.392	0.2014	0.1076	0.0778
0.4189	0.2896	0.1939	0.1122	0.5745	0.4386	0.2394	0.1141	0.5199	0.3403	0.1762	0.0982
