1	2	3	4	5	6	7	8	9	10	11	12
0.0766	0.0602	0.0529	0.0508	1.6418	0.6897	0.2858	0.1404	1.5272	0.6214	0.2797	0.1447
0.2275	0.1153	0.0805	0.0646	0.2125	0.1158	0.0758	0.064	0.2019	0.108	0.0769	0.0651
0.3849	0.1926	0.102	0.0771	0.3474	0.17	0.1012	0.0752	0.3633	0.1716	0.1103	0.0739
0.6056	0.3017	0.1828	0.15	0.5292	0.2922	0.1834	0.1275	0.533	0.2908	0.1824	0.1374
0.4629	0.2588	0.1737	0.1673	0.4165	0.2513	0.1795	0.1537	0.4303	0.2533	0.1806	0.1539
0.0861	0.0645	0.058	0.0569	0.0803	0.0662	0.0603	0.0563	0.0784	0.0645	0.0577	0.0543
0.3906	0.214	0.1406	0.1242	0.3671	0.2084	0.1458	0.1192	0.3649	0.1984	0.1405	0.1182
0.2917	0.1358	0.0986	0.0758	0.2459	0.1372	0.0938	0.0788	0.2356	0.1481	0.0949	0.0844
