1	2	3	4	5	6	7	8	9	10	11	12
0.2151	0.1031	0.08	0.0613	1.9545	0.7817	0.4948	0.2305	1.8841	0.9433	0.4641	0.1758
0.5793	0.31	0.1628	0.1032	0.6515	0.3226	0.1595	0.1014	0.5201	0.299	0.1571	0.0976
0.3766	0.1917	0.1112	0.0711	0.4123	0.1786	0.1078	0.0719	0.3273	0.1857	0.0919	0.0684
0.4955	0.3414	0.1808	0.0958	0.5771	0.2364	0.1393	0.0934	0.5444	0.2628	0.1466	0.0939
0.2129	0.1028	0.0722	0.0602	1.693	0.8052	0.3906	0.1843	1.7756	0.8823	0.4451	0.2045
0.6572	0.3026	0.1789	0.103	0.4453	0.2774	0.1419	0.0985	0.4608	0.2586	0.1539	0.0936
0.4918	0.2499	0.1052	0.0812	0.3236	0.1876	0.1042	0.0729	0.408	0.1613	0.1039	0.0756
0.5837	0.4068	0.1905	0.1405	0.7089	0.3741	0.1525	0.1109	0.5425	0.3277	0.2049	0.1011
