1	2	3	4	5	6	7	8	9	10	11	12
0.0632	0.0625	0.0774	0.0648	0.9876	0.2079	0.1165	0.0847	0.9883	0.2058	0.0497	0.0843
0.5447	0.3217	0.214	0.1665	0.6035	0.3282	0.2207	0.1642	0.5827	0.3023	0.052	0.173
0.6362	0.3772	0.2226	0.1732	0.616	0.3301	0.2821	0.1722	0.6274	0.3087	0.2191	0.1694
0.4515	0.1936	0.124	0.0899	0.4457	0.1945	0.1247	0.0909	0.4244	0.1781	0.1144	0.0901
0.3143	0.1342	0.0952	0.0823	0.2711	0.133	0.0966	0.0814	0.2836	0.1264	0.1	0.0565
0.4474	0.2221	0.1349	0.0997	0.4616	0.2008	0.1283	0.1018	0.4758	0.0477	0.1347	0.1087
0.0437	0.5325	0.2884	0.1657	1.1072	0.5461	0.2794	0.1648	0.0439	0.0463	0.2889	0.1791
0.0409	0.2482	0.1398	0.096	0.4979	0.2582	0.1475	0.1003	0.0422	0.0462	0.1453	0.1504
